券代码,日期,传统汽车销量,国内生产总值当季值(亿元),汽油价格（元/吨）,人民币贷款基准利率%,汽车总产量（万辆）,公路里程数,汽车整车股票指数,消费者信心指数
65,2003年Q1,102.1,29825.5,3020,5.49,102.1,177.6375,1696.81,97.7
64,2003年Q2,110,32537.3,3020,5.49,110,178.755,1912.54,87.66666667
63,2003年Q3,112.1,35291.9,2920,5.49,112.1,179.8725,1803.71,92.33333333
62,2003年Q4,122.8,39767.4,3010,5.49,122.8,180.99,1922.48,94.66666667
61,2004年Q1,131.1,34544.6,3210,5.49,131.1,182.5125,1930.71,95.33333333
60,2004年Q2,133.3,38700.8,3210,5.49,133.3,184.035,1245.7,92.56666667
59,2004年Q3,121,41855,3510,5.49,121,185.5575,1163.16,91.06666667
58,2004年Q4,123.7,46739.8,3750,5.76,123.7,187.08,870.61,92.56666667
57,2005年Q1,139.7,40453.3,3750,5.76,139.7,188.5675,749.62,93.93333333
56,2005年Q2,162.2,44793.1,4050,5.76,162.2,190.055,764.84,94.53333333
55,2005年Q3,139.3,48047.8,4100,5.76,139.3,191.5425,826.79,94.4
54,2005年Q4,174,54024.8,4400,5.76,174,193.03,796.8,93.86666667
53,2006年Q1,185.9,47078.9,4400,5.76,185.9,231.195,903.68,91.26666667
52,2006年Q2,195.7,52673.3,4700,6.03,195.7,269.36,1351.09,90
51,2006年Q3,172.9,56064.7,4980,6.3,172.9,307.525,1291.19,90.66666667
50,2006年Q4,178.3,63621.6,4980,6.3,178.3,345.69,1802.6,92.13333333
49,2007年Q1,219,57159.3,4980,6.3,219,348.8575,2809.69,94.36666667
48,2007年Q2,230.1,64781.6,4980,6.75,230.1,352.025,3546.31,96.76666667
47,2007年Q3,221.9,69482.1,4980,7.2,221.9,355.1925,5471.08,96.96666667
46,2007年Q4,230.9,78669.3,4980,7.47,230.9,358.36,4840.22,96.46666667
45,2008年Q1,268.5,69373.6,5480,7.56,268.5,362.025,3157.83,94.8
44,2008年Q2,268.1,78711.8,5480,7.56,268.1,365.69,1902.29,94.13333333
43,2008年Q3,206.4,82460.1,6480,7.56,206.4,369.355,1655.17,93.86666667
42,2008年Q4,226.4,88699,6480,6.43,226.4,373.02,1389.05,99.8
41,2009年Q1,271,73979.2,5580,5.4,271,376.2875,2390.98,100.8666667
40,2009年Q2,362.4,83865.8,5730,5.4,362.4,379.555,3146.49,100.9
39,2009年Q3,369.6,89846.9,6130,5.4,369.6,382.8225,3651.07,102.5333333
38,2009年Q4,364,100825.8,6810,5.4,364,386.09,5162.19,103.4666667
37,2010年Q1,466.2,87501.3,7100,5.4,466.2,389.765,4421.33,105.6
36,2010年Q2,468.6,99347.4,7100,5.4,468.6,393.44,3322.6,107.7
35,2010年Q3,402.8,105963.7,7190,5.4,402.8,397.115,4460.99,106.4
34,2010年Q4,507,119306.8,7190,5.6,507,400.79,4136.98,102.3666667
33,2011年Q1,514.3,104469.9,7730,6.1,514.3,403.19,4564.4,102.3666667
32,2011年Q2,451.8,118895.9,8080,6.4,451.8,405.59,4073.69,106.8333333
31,2011年Q3,447.3,126562.2,8580,6.65,447.3,407.99,3441.62,104.6666667
30,2011年Q4,504.4,138012.1,8580,6.65,504.4,410.39,2985.92,99.33333333
29,2012年Q1,520.4,117357.6,8280,6.65,520.4,413.6975,3234.15,102.9666667
28,2012年Q2,508.5,131320.6,918,6.65,508.5,417.005,3162.54,102.1666667
27,2012年Q3,481.4,138089.6,8320,6.15,481.4,420.3125,2799.05,99.46666667
26,2012年Q4,551.6,151812,8840,6.15,551.6,423.62,3464.19,104.9666667
25,2013年Q1,574.8,129449.6,8530,6.15,575.1,426.62,3520.89,105.1
24,2013年Q2,653.9,143518.7,8520,6.15,654.2,429.62,3562.36,99.9
23,2013年Q3,478,152222.7,8225,6.15,478.4,432.62,4046.07,98.26666667
22,2013年Q4,747.2,167772.3,8550,6.15,748,435.62,3997.14,101.3666667
21,2014年Q1,659.1,140270.2,8535,6.15,659.8,438.2875,3873.02,104.0333333
20,2014年Q2,660.8,155922.3,8640,6.15,662.2,440.955,4020.07,103.9333333
19,2014年Q3,600.8,164897.8,8980,6.15,602.6,443.6225,4703.21,104.5333333
18,2014年Q4,557.7,180190.3,8200,6.15,561.4,446.29,5227.65,104.9
17,2015年Q1,689.2,150593.8,6775,6,691.9,449.0725,6580.57,107.5333333
16,2015年Q2,649.1,167874.5,6670,5.5,653.7,451.855,7016.61,107.6666667
15,2015年Q3,587.4,175803.8,7235,5,593.8,454.6375,5438.9,104.7
14,2015年Q4,517.4,191720.8,6410,4.75,536.8,457.42,6461.44,103.8666667
13,2016年Q1,656.54,160967.3,6105,4.75,662.34,460.44,5617.758,102.8
12,2016年Q2,624.19,179878.7,5965,4.75,635.39,463.46,5749.814,101.2333333
11,2016年Q3,640.24,189337.6,6570,4.75,652.14,466.48,5850.48,105.6666667
10,2016年Q4,815.23,209877.2,6420,4.75,837.03,469.5,5785.15,108.0666667
9,2017年Q1,707.44,179403.4,7120,4.75,713.04,471.4625,6095.69,110.9333333
8,2017年Q2,514.52,199177.8,7025,4.75,528.42,473.425,6105.308,112.9
7,2017年Q3,804.54,209824.1,6685,4.75,824.84,475.3875,6721.655,115.9666667
6,2017年Q4,852.48,232349,7240,4.75,890.38,477.35,6276.352,122.6
5,2018年Q1,731.6,197920,7725,4.75,745.9,479.175,5916.325,122.8666667
4,2018年Q2,648.78,219295.4,7780,4.75,675.68,481,5312.501,121.3333333
3,2018年Q3,616.02,229495.5,8265,4.75,646.92,482.825,4877.138,118.9333333
2,2018年Q4,694.33,253598.6,8755,4.75,747.83,484.65,4227.437,121.4
1,2019年Q1,592.43,213432.8,7240,4.75,633.6,,4661.423,123.7
